tweet,followers_count,retweet_count
https://twitter.com/JoeRTabet/status/796308969639841792,3659,1
https://twitter.com/paulgivan/status/796307879779307520,3688,1
https://twitter.com/SyedKamall/status/796307022044131328,10632,7
https://twitter.com/RenataZanchi/status/796305812784349184,41286,2
https://twitter.com/HaiderAlAbadi/status/796304687939129344,210843,395
https://twitter.com/officialYAD/status/796304395281367040,50119,144
https://twitter.com/rhowardbrowne/status/796303839620169728,23020,11
https://twitter.com/terranovajoe/status/796303698062438401,55748,5
https://twitter.com/rhowardbrowne/status/796302942894555140,23020,4
https://twitter.com/20committee/status/796301091457658881,45274,15
https://twitter.com/ABC7/status/796300138570387456,754368,22
https://twitter.com/TheNewsPress/status/796299305514569728,56083,2
https://twitter.com/isaacfcorrales/status/796298958612074496,30606,240
https://twitter.com/FinancialXpress/status/796298016588079104,142514,0
https://twitter.com/VasundharaBJP/status/796297707933446145,833689,56
https://twitter.com/TaaviRoivas/status/796296724524494852,33165,20
https://twitter.com/PSBrarOfficial/status/796296142778601472,102398,86
https://twitter.com/ProfJNMoyo/status/796295714284376067,99085,17
https://twitter.com/senantoniorazzi/status/796295421618425856,22389,284
https://twitter.com/C_P_Gurnani/status/796294410363236352,15064,6
https://twitter.com/SorenPape/status/796294216502693888,12630,5
https://twitter.com/shjpoole/status/796293718907166720,1389,0
https://twitter.com/MAnwarMQM/status/796292926934487044,36224,17
https://twitter.com/cs_networks/status/796292489355390976,1913,8
https://twitter.com/wipler/status/796292097305411584,69231,5
https://twitter.com/AshleighWalters/status/796291616810168320,5647,0
https://twitter.com/Gurmeetramrahim/status/796291461553631232,2134177,18269
https://twitter.com/MehrTarar/status/796289852950151168,127893,5
https://twitter.com/AusHCIndia/status/796289160109637632,5178,4
https://twitter.com/CraigParisot/status/796289026949005312,684,0
https://twitter.com/annafifield/status/796288718185205760,19229,22
https://twitter.com/7NewsQueensland/status/796288312914808833,76490,1
https://twitter.com/pastormarkburns/status/796288114998280192,42819,608
https://twitter.com/ahmed_nihan/status/796287988288266240,44840,121
https://twitter.com/CMPemaKhandu/status/796287767621734400,1921,11
